Ticker,Empresa,Resumo,Site,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,CNPJ,Score,LucroPorAcao,PrecoJusto,Desconto_%,Ranking,Risco,Risco_num,Farol
BSLI4,BRB BANCO   PN,"O BRB - Banco de Brasília S.A. atua nas atividades de crédito, financiamento e investimento para clientes pessoas físicas e jurídicas no Brasil. A empresa envolvida na distribuição de valores mobiliários e gestão de fundos, cartões de crédito, seguros e prestação de outros serviços relacionados. A empresa era anteriormente conhecida como Banco regional de Brasília SA BRB e mudou seu nome para BRB - Banco de Brasília S.A. em janeiro de 1986. O BRB - Banco de Brasília S.A. foi constituído em 1964 e está sediado em Brasília, Brasil.",https://www.brb.com.br,Financial Services,Serviços Financeiros,1.980198,0.48804295,0.25134,0.1582,2060861320.0,4.0,Small Caps,Não disponível,85,2.0200000202000004,30.300000303000004,86.8,58.0,Baixo,,🟢
BSLI3,BRB BANCO   ON,"O BRB - Banco de Brasília S.A. atua nas atividades de crédito, financiamento e investimento para clientes pessoas físicas e jurídicas no Brasil. A empresa envolvida na distribuição de valores mobiliários e gestão de fundos, cartões de crédito, seguros e prestação de outros serviços relacionados. A empresa era anteriormente conhecida como Banco regional de Brasília SA BRB e mudou seu nome para BRB - Banco de Brasília S.A. em janeiro de 1986. O BRB - Banco de Brasília S.A. foi constituído em 1964 e está sediado em Brasília, Brasil.",https://www.brb.com.br,Financial Services,Serviços Financeiros,2.1633663,0.5331869,0.25134,0.1386,2124611294.55099,4.369999885559082,Small Caps,Não disponível,85,2.019999981306486,30.29999971959729,85.58,58.0,Baixo,,🟢
BAZA3,AMAZONIA    ON,"O Banco da Amazônia S.A. fornece produtos e serviços bancários na região amazônica do Brasil. A empresa oferece contas poupança, corrente, simplificada e salário; cartões de crédito; produtos de capitalização; vários empréstimos pessoais e empresariais; planos de pensões; fundos de investimento, certificados de depósitos bancários e recibos de depósitos e cartas de crédito do agronegócio; produtos de seguros; e débito direto e serviços financeiros online. Também oferece programas de financiamento para agricultura familiar, máquinas e equipamentos, atividades rurais e de biodiversidade, caminhões, energia verde, negócios e infraestrutura verdes e investimentos rurais e não rurais, bem como atividades de ciência, tecnologia e inovação; fundo de desenvolvimento e marinha mercante; capital de giro; comércio exterior; e serviços de poupança para pessoas jurídicas, cobrança, adiantamento de cartão, cheque comercial, débito automático, mensagens de celular e domicílio bancário. A empresa foi fundada em 1942 e está sediada em Belém, Brasil.",https://www.bancoamazonia.com.br,Financial Services,Serviços Financeiros,3.931677,0.63339466,0.15239,0.0974,4613038792.67292,82.29000091552734,Small Caps,Não disponível,85,20.93000033205356,313.9500049808034,73.79,52.0,Baixo,,🟢
BNBR3,NORD BRASIL ON  ERJ,"O Banco do Nordeste do Brasil S.A. atua como um banco de desenvolvimento regional na América Latina. Atua por meio dos segmentos Carteira Própria e FNE. A empresa oferece contas de poupança, depósitos à vista e a prazo e custódia de títulos; crédito especializado; crédito para infra-estruturas e microfinanciamento urbano e rural; e serviços de cobrança e cartões de crédito. Atua também na estruturação e distribuição de bonds e títulos locais de curto e longo prazo, como debêntures, notas, notas promissórias, certificados de recebíveis imobiliários, fundos de investimento; administração de recursos de terceiros, consistindo na administração de fundos de investimento; operações de câmbio; gestão de carteira e análise de crédito; e transferências eletrônicas. Atende empresas corporativas, grandes, médias, pequenas e microempresas; agroindústria, produtores rurais e agricultura familiar; sectores de microfinanças urbanas e rurais; entidades representativas; indivíduos; e instituições da administração pública direta e indireta. A empresa atua por meio de pontos de atendimento físicos, incluindo agências e unidades de microcrédito. O Banco do Nordeste do Brasil S.A. foi fundado em 1952 e está sediado em Fortaleza, Brasil.",https://www.bnb.gov.br,Financial Services,Serviços Financeiros,3.93726,0.7821542,0.19412,0.055999999999999994,12140069250.0,123.0,Mid Caps,Não disponível,100,31.239999390439035,468.5999908565855,73.75,52.0,Baixo,,🟢
BRSR6,BANRISUL    PNB     N1,"O Banco do Estado do Rio Grande do Sul S.A., um banco múltiplo, oferece uma gama de produtos e serviços bancários principalmente no Brasil. A empresa atua em atividades bancárias de varejo, empréstimos, financiamento e investimento, empréstimos hipotecários, desenvolvimento, carteira de arrendamento e câmbio. Também oferece corretagem de valores mobiliários, grupos de consórcios, soluções para o setor de pagamentos, seguros e produtos de previdência e títulos de capitalização. O Banco do Estado do Rio Grande do Sul S.A. foi constituído em 1928 e está sediado em Porto Alegre, Brasil.",https://www.banrisul.com.br,Financial Services,Serviços Financeiros,3.9976132,0.5976806,0.1567,0.0643,6850322489.75,16.75,Small Caps,Não disponível,85,4.19000017310329,62.85000259654935,73.35,52.0,Baixo,,🟢
BRSR3,BANRISUL    ON      N1,"O Banco do Estado do Rio Grande do Sul S.A., um banco múltiplo, oferece uma gama de produtos e serviços bancários principalmente no Brasil. A empresa atua em atividades bancárias de varejo, empréstimos, financiamento e investimento, empréstimos hipotecários, desenvolvimento, carteira de arrendamento e câmbio. Também oferece corretagem de valores mobiliários, grupos de consórcios, soluções para o setor de pagamentos, seguros e produtos de previdência e títulos de capitalização. O Banco do Estado do Rio Grande do Sul S.A. foi constituído em 1928 e está sediado em Porto Alegre, Brasil.",https://www.banrisul.com.br,Financial Services,Serviços Financeiros,4.4248214,0.66155225,0.1567,0.0582,7582387178.007317,18.540000915527344,Small Caps,Não disponível,85,4.1899998303948145,62.84999745592222,70.5,46.0,Baixo,,🟢
JHSF3,JHSF PART   ON      NM,"A JHSF Participações S.A., em conjunto com suas subsidiárias, atua no ramo imobiliário no Brasil e internacionalmente. Atua por meio de cinco segmentos: Renda Recorrente; Negócios Imobiliários; Aeroporto, Hotéis e Restaurantes; e Holding. A empresa atua na construção e operação de shopping centers; compra e venda de imóveis residenciais e comerciais; varejo de artigos de moda; locação de imóveis comerciais; e desenvolvimento e operação de hotéis, atividades turísticas e gastronômicas, incluindo bares, cafés e restaurantes. Também se dedica à operação e gestão do aeródromo; prestação de serviços de gestão; e soluções de financiamento, serviços e investimentos imobiliários. A empresa foi fundada em 1972 e está sediada em São Paulo, Brasil.",https://jhsf.com.br,Real Estate,Imobiliário,4.531579,0.91236615,0.20974001,0.0964,5757611442.185901,8.609999656677246,Small Caps,Não disponível,85,1.8999999021703575,28.499998532555363,69.79,58.0,Baixo,,🟢
ABCB4,ABC BRASIL  PN      N2,"O Banco ABC Brasil S.A., um banco comercial, fornece diversos produtos e serviços financeiros para médias e grandes empresas no Brasil. A empresa oferece conta corrente; produtos de crédito e financiamento, como capital de giro, rotativo, recebíveis, antecipação a fornecedores, empréstimo consignado para empregados, sobre empréstimos em moeda estrangeira e empréstimos em moeda estrangeira, bem como para agronegócio, comércio exterior, transferências do fundo de defesa da economia cafeeira e imóveis; questões de garantias, tais como garantia de pagamento emitida, garantia de execução emitida, garantia judicial emitida, carta de crédito stand-by, confirmação de cartas de crédito de exportação, garantia de oferta, garantia de execução e carta de crédito de importação; derivativos, como contratos a termo de não entrega, prazo de mercadorias, swap e opções; serviços de câmbio para exportação e importação de câmbio, câmbio à vista de adiantamentos sobre câmbios entregues e câmbio à vista financeiro de remessas; cédulas de crédito do agronegócio e imobiliário, certificado de depósito bancário, fundos de investimento, certificado de operações estruturadas e debêntures. Também fornece serviços de investimentos em operações de fusões e aquisições, mercado de capitais e financiamento de projetos. Além disso, a empresa oferece produtos de seguros, como seguros de vida, seguros de vida e seguros de propriedades e acidentes; e atua como comercializadora de energia. A empresa era anteriormente conhecida como Banco Roma de Investimentos e mudou seu nome para Banco ABC Brasil S.A. em 1997. A empresa foi constituída em 1983 e está sediada em São Paulo, Brasil. O Banco ABC Brasil S.A. é uma subsidiária da Marsau Uruguai Holdings SA.",https://www.abcbrasil.com.br,Financial Services,Serviços Financeiros,4.62243,0.8824264,0.15463,0.1235,5969745498.527264,24.729999542236328,Small Caps,Não disponível,85,5.349999792800828,80.24999689201242,69.18,52.0,Baixo,,🟢
BRSR5,BANRISUL    PNA     N1,"O Banco do Estado do Rio Grande do Sul S.A., um banco múltiplo, oferece uma gama de produtos e serviços bancários principalmente no Brasil. A empresa atua em atividades bancárias de varejo, empréstimos, financiamento e investimento, empréstimos hipotecários, desenvolvimento, carteira de arrendamento e câmbio. Também oferece corretagem de valores mobiliários, grupos de consórcios, soluções para o setor de pagamentos, seguros e produtos de previdência e títulos de capitalização. O Banco do Estado do Rio Grande do Sul S.A. foi constituído em 1928 e está sediado em Porto Alegre, Brasil.",https://www.banrisul.com.br,Financial Services,Serviços Financeiros,4.634845,0.69295275,0.1567,0.0554,7942284343.340001,19.42,Small Caps,Não disponível,85,4.18999988133368,62.849998220005205,69.1,46.0,Baixo,,🟢
SUZB3,SUZANO S.A. ON      NM,"A Suzano S.A. fabrica e comercializa produtos de celulose e papel no Brasil e internacionalmente. Atua em dois segmentos, Celulose e Papel. A empresa oferece papéis de impressão e escrita revestidos e não revestidos, cartões, papéis tissue e celuloses de mercado e fluff. Também se dedica à pesquisa, desenvolvimento e produção de biocombustíveis; operação de terminais portuários; atividades de pesquisa e desenvolvimento em biotecnologia e polpas nanocristalinas; negócios de geração e distribuição de energia; atividades de transporte rodoviário de cargas; comercialização de equipamentos e peças; pesquisa e desenvolvimento de lignina; industrialização e comercialização de produtos de celulose, microfibras celulósicas, papel e papelão; e industrialização, comercialização e exportação de produtos de celulose. Além disso, a empresa está envolvida em atividades de escritório comercial, capital de risco corporativo e captação de recursos financeiros; produção de bens de consumo através de líquidos à base de celulose; desenvolvimento e produção de fibras, fios e filamentos têxteis à base de celulose; restauração, conservação e preservação de florestas; e pesquisa de matérias-primas para a indústria têxtil. A empresa era anteriormente conhecida como Suzano Papel e Celulose S.A. e mudou seu nome para Suzano S.A. em abril de 2019. A empresa foi fundada em 1924 e está sediada em Salvador, Brasil.",https://www.suzano.com.br,Basic Materials,Materiais Básicos,4.6623497,1.4217608,0.35192,0.0222,62299283126.13411,50.400001525878906,Blue Chips,Não disponível,85,10.810000272154383,162.15000408231575,68.92,46.0,Baixo,,🟢
